,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,normalized (MAE),normalized (MSE),R^2,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,20.92,12.364206403971101,38.80000000000001,46.0,"0    0.832849
dtype: float64","0    0.861249
dtype: float64",0.6985547432551403,0.7949367273865177,0.1875961046844004,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 3. 18. 13. 34.  5. 24. 45. 16. 29.  8. 31. 11. 23. 18.  6. 42. 22. 46.
 14.  7. 18.  8. 30. 19. 33.]"
1,18.36,18.414950447937677,40.80000000000001,79.0,"0    0.82285
dtype: float64","0    0.87936
dtype: float64",0.6568729531029992,0.8135634846902053,0.17648027869414395,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 1. 13.  7. 11.  9. 79.  2.  8. 36. 57. 26. 44. 28. 21. 11. 28.  3. 17.
  8.  8. 15.  2.  8.  5. 12.]"
2,15.56,14.389106991054032,37.6,51.0,"0    0.864353
dtype: float64","0    0.889578
dtype: float64",0.7318201817435686,0.8191592228931601,0.182671352948554,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 3. 20. 29. 51.  7. 37.  9.  2.  8.  2.  8. 24.  8.  9. 48. 16. 23. 11.
  3.  3. 14.  3. 38. 12.  1.]"
3,10.8,10.526157893552615,22.800000000000004,37.0,"0    0.862881
dtype: float64","0    0.902441
dtype: float64",0.5449861673798747,0.5903094506423829,0.4083453658125129,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 6.  1.  6.  1. 20. 20.  7.  5. 21.  1. 37.  1.  9. 19.  7. 18. 36. 24.
 13.  5.  5.  3.  1.  3.  1.]"
4,9.6,5.329165037789691,16.400000000000006,26.0,"0    0.884478
dtype: float64","0    0.935702
dtype: float64",0.7402931445411182,0.8395141276155036,0.1448753733245497,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 8.  8. 11. 12. 14. 18.  9.  5. 22.  7. 10.  8.  9.  7.  6.  5. 10.  4.
 11.  3.  8.  6. 26.  6.  7.]"
5,11.32,6.3543371015393895,20.0,25.0,"0    0.879069
dtype: float64","0    0.923513
dtype: float64",0.7001497603973338,0.8205823154205697,0.16503884769819982,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[25.  1.  5. 20.  9.  5. 16. 20.  9. 10.  6.  7. 18. 10. 10.  7.  6.  7.
 23. 18.  3.  7. 12. 15. 14.]"
6,5.0,5.207686626516615,10.600000000000001,25.0,"0    0.949484
dtype: float64","0    0.967272
dtype: float64",0.67451194137597,0.7277131413626122,0.2653838296141119,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[10.  1.  2.  4.  6.  4.  5. 25. 11.  2.  1.  3.  1.  2.  5.  5.  5.  1.
  2.  5.  1.  5. 14.  2.  3.]"
7,8.28,6.315188041539223,16.200000000000003,23.0,"0    0.917363
dtype: float64","0    0.936904
dtype: float64",0.5208764470373548,0.5413235562233734,0.4550449275931409,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 2.  9. 15.  3. 17.  1. 23.  5. 15.  4. 11.  5.  1.  1. 10.  5. 15.  3.
 21.  6.  8.  8. 13.  1.  5.]"
8,13.36,11.127910855142577,29.0,35.0,"0    0.841385
dtype: float64","0    0.873946
dtype: float64",0.7325936761413202,0.8097630994016827,0.1771201483871293,1,Gauss with PCA,MLI (explore & exploit),2.0,0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[16.  4. 19.  3. 29.  3.  1. 17.  4. 12. 19.  1. 35.  8.  2. 29. 15.  3.
 27. 34. 16.  2.  1. 26.  8.]"
9,21.44,15.892337776425467,43.6,49.0,"0    0.835538
dtype: float64","0    0.867615
dtype: float64",0.6924556271362232,0.7950410107960505,0.18559794019478368,1,RF with PCA,MLI (explore & exploit),2.0,0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[35. 25. 14.  3. 20. 20.  9. 49.  5.  2. 10. 34. 26.  1. 44.  4.  2. 19.
 43. 28. 43. 47.  7. 37.  9.]"
