,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,normalized (MAE),normalized (MSE),R^2,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,19.32,14.363063740024272,35.6,49.0,"0    0.693588
dtype: float64","0    0.751846
dtype: float64",0.7088550763609116,0.8593890252469096,0.16866922937009526,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[25.  3. 11.  6.  8. 36.  1.  8. 12. 11.  8. 32. 15. 32. 31. 26. 49.  4.
  6. 27. 33. 11. 49. 35.  4.]"
1,34.48,15.786373871158633,51.6,56.0,"0    0.681126
dtype: float64","0    0.72191
dtype: float64",0.5600614586511437,0.7065726657029364,0.29877685963003775,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[44. 51. 30. 46. 31. 43. 44. 11. 54.  4. 38. 16. 45. 32. 43. 33.  6. 51.
 45. 23. 52. 56. 33. 28.  3.]"
2,14.92,10.023652029076029,29.6,37.0,"0    0.739691
dtype: float64","0    0.783016
dtype: float64",0.6927960274095757,0.8968513363815289,0.1658650742252545,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[11.  5. 15. 15. 16. 21. 37. 25.  8.  9. 30.  1. 11.  5.  7.  2. 28. 33.
 29.  3. 12. 17. 10. 15.  8.]"
3,24.68,10.006877634906905,35.6,39.0,"0    0.723019
dtype: float64","0    0.747753
dtype: float64",0.5537948905771877,0.6971052882441924,0.3541775707440244,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[22. 15. 31. 34. 31.  8. 27.  5. 31. 24. 15.  6. 38.  7. 30. 25. 27. 24.
 27. 28. 33. 36. 39. 19. 35.]"
4,1.08,0.2712931993250107,1.0,2.0,1.0,1.0,0.7868190890704106,0.993044736808282,0.019633143896937072,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 2. 1. 1. 1. 1. 1. 1.
 1.]"
5,1.84,1.4880860190190621,3.6000000000000014,7.0,"0    0.808479
dtype: float64",1.0,0.8941343467532371,1.2982210063184012,-0.2999274374579675,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 1. 1. 2. 1. 1. 1. 3. 3. 1. 2. 2. 4. 1. 1. 1. 1. 7. 1. 1. 2. 1.
 5.]"
6,1.0,0.0,1.0,1.0,1.0,1.0,0.6951357806340022,0.8595462779269352,0.15781706518849792,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1.]"
7,1.6,1.0198039027185568,2.6000000000000014,5.0,"0    0.788224
dtype: float64",1.0,0.7329937322525439,1.0011955472956955,-0.02519314375596947,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 2. 2. 1. 1. 4. 2. 3. 2. 1. 1. 1. 1. 1. 1. 1. 2. 1. 1. 1. 1. 1. 5. 2.
 1.]"
8,11.08,9.116666057282124,24.6,29.0,"0    0.682458
dtype: float64","0    0.769193
dtype: float64",0.7012180579851715,0.8258866975529944,0.16009885110167232,1,Gauss with PCA,MLI (explore & exploit),2.0,0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 4.  9.  3.  8.  6. 17. 19.  1.  1. 15. 25.  6.  5.  5. 29.  3. 29.  7.
 20.  3. 24.  9.  3. 23.  3.]"
9,20.72,13.364190959425864,40.6,52.0,"0    0.688286
dtype: float64","0    0.731603
dtype: float64",0.7121129723226644,0.9460308436866987,0.013880107309913426,1,RF with PCA,MLI (explore & exploit),2.0,0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[27.  5.  7. 25. 24. 16. 52. 40. 28.  6.  5.  4. 14. 30. 30. 25. 13. 12.
 41. 24. 27. 10.  6.  6. 41.]"
